seed,sigma_pb,delta_pb,canonical
12345,0.02349,0.0001364,True
15804,0.02388,0.000139,False
16926,0.02365,0.0001389,False
18859,0.02363,0.0001405,False
20430,0.02367,0.0001395,False
25099,0.02353,0.0001393,False
27695,0.02368,0.0001406,False
29075,0.02355,0.0002261,False
33422,0.02338,0.0001407,False
42025,0.0238,0.0001396,False
42073,0.0235,0.0001768,False
46264,0.02354,0.0001386,False
46293,0.0235,0.0001417,False
47153,0.02319,0.000142,False
57351,0.02358,0.0002015,False
58734,0.02369,0.0001369,False
58836,0.02361,0.0001395,False
59807,0.02363,0.0002084,False
62457,0.02371,0.0001395,False
62538,0.02347,0.0002238,False
63829,0.02359,0.0001423,False
64838,0.02359,0.0001436,False
67890,0.02356,0.0001374,True
76379,0.0234,0.0001425,False
81786,0.02357,0.0001419,False
84503,0.02357,0.0001375,False
85818,0.02351,0.0001695,False
91014,0.02355,0.0001406,False
92700,0.02323,0.0001429,False
96506,0.02357,0.0001922,False
