run_index,seed,sigma_pb,delta_pb
1,12345,0.02349,0.0001364
2,15804,0.02388,0.000139
3,16926,0.02365,0.0001389
4,18859,0.02363,0.0001405
5,20430,0.02367,0.0001395
6,25099,0.02353,0.0001393
7,27695,0.02368,0.0001406
8,29075,0.02355,0.0002261
9,33422,0.02338,0.0001407
10,42025,0.0238,0.0001396
11,42073,0.0235,0.0001768
12,46264,0.02354,0.0001386
13,46293,0.0235,0.0001417
14,47153,0.02319,0.000142
15,57351,0.02358,0.0002015
16,58734,0.02369,0.0001369
17,58836,0.02361,0.0001395
18,59807,0.02363,0.0002084
19,62457,0.02371,0.0001395
20,62538,0.02347,0.0002238
21,63829,0.02359,0.0001423
22,64838,0.02359,0.0001436
23,67890,0.02356,0.0001374
24,76379,0.0234,0.0001425
25,81786,0.02357,0.0001419
26,84503,0.02357,0.0001375
27,85818,0.02351,0.0001695
28,91014,0.02355,0.0001406
29,92700,0.02323,0.0001429
30,96506,0.02357,0.0001922
