n_completed,cumulative_weighted_mean_pb,cumulative_weighted_mean_error_pb
1,0.02349,0.0001364
2,0.023681318410924863,9.735558690300741e-05
3,0.023671001214838717,7.972292584976241e-05
4,0.02366101526629408,6.933820965983853e-05
5,0.023662795249084073,6.209112152048526e-05
6,0.023640784459628944,5.671235178416672e-05
7,0.023646271973201554,5.259494708586532e-05
8,0.0236413300000871,5.122722315016002e-05
9,0.023610742683755615,4.813601683872611e-05
10,0.023630853615143884,4.550668206132118e-05
11,0.023622723204008156,4.4070263945546236e-05
12,0.02361512756755155,4.199829327478838e-05
13,0.02360583072738728,4.026686957594186e-05
14,0.023574881745898557,3.873943086360266e-05
15,0.023575064183914324,3.8042740862754946e-05
16,0.023583303424463384,3.665382883600263e-05
17,0.02358502748519065,3.545052807943937e-05
18,0.02358629224622315,3.4948485971975204e-05
19,0.023593598059011123,3.390080543678426e-05
20,0.023590825639346388,3.351843571664016e-05
21,0.023590782238625714,3.262557541013863e-05
22,0.023590743842410576,3.181478697507763e-05
23,0.02358917939538247,3.099474669064939e-05
24,0.023580633740885412,3.028660635221512e-05
25,0.023580170426688116,2.9619461799350454e-05
26,0.023579719413750894,2.8955269483288227e-05
27,0.023577742547258106,2.8541809910832885e-05
28,0.023576644551185758,2.7971293271286322e-05
29,0.023563853206905138,2.7450365654119853e-05
30,0.02356397608329942,2.7174609713201237e-05
