seed,delta_pb,abs_deviation_from_weighted_mean_pb
12345,0.0001364,7.397608329941935e-05
15804,0.000139,0.00031602391670057864
16926,0.0001389,8.602391670058107e-05
18859,0.0001405,6.602391670058189e-05
20430,0.0001395,0.00010602391670058026
25099,0.0001393,3.397608329942098e-05
27695,0.0001406,0.00011602391670057985
29075,0.0002261,1.3976083299418324e-05
33422,0.0001407,0.00018397608329941834
42025,0.0001396,0.0002360239167005819
42073,0.0001768,6.397608329941976e-05
46264,0.0001386,2.3976083299421386e-05
46293,0.0001417,6.397608329941976e-05
47153,0.000142,0.000373976083299421
57351,0.0002015,1.6023916700580454e-05
58734,0.0001369,0.00012602391670057944
58836,0.0001395,4.602391670057923e-05
59807,0.0002084,6.602391670058189e-05
62457,0.0001395,0.00014602391670057863
62538,0.0002238,9.397608329941853e-05
63829,0.0001423,2.6023916700580046e-05
64838,0.0001436,2.6023916700580046e-05
67890,0.0001374,3.976083299418731e-06
76379,0.0001425,0.00016397608329941915
81786,0.0001419,6.023916700580861e-06
84503,0.0001375,6.023916700580861e-06
85818,0.0001695,5.397608329942016e-05
91014,0.0001406,1.3976083299418324e-05
92700,0.0001429,0.00033397608329941916
96506,0.0001922,6.023916700580861e-06
