Basename	Count	Paths
.gitignore	5	.gitignore; .code-review-graph/.gitignore; .pytest_cache/.gitignore; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/.pytest_cache/.gitignore; archive/unclassified/.code-review-graph/.gitignore
CONSOLIDATION_VALIDATION.md	2	CONSOLIDATION_VALIDATION.md; integration/consolidation_20260723T062842Z/CONSOLIDATION_VALIDATION.md
RESTORE_PRE_CONSOLIDATION.md	2	RESTORE_PRE_CONSOLIDATION.md; integration/consolidation_20260723T062842Z/RESTORE_PRE_CONSOLIDATION.md
CONSOLIDATION_CHECKSUMS.sha256	2	CONSOLIDATION_CHECKSUMS.sha256; integration/consolidation_20260723T062842Z/CONSOLIDATION_CHECKSUMS.sha256
CONSOLIDATION_VALIDATION.json	2	CONSOLIDATION_VALIDATION.json; integration/consolidation_20260723T062842Z/CONSOLIDATION_VALIDATION.json
WORKTREE_CLEANUP_READINESS.json	2	WORKTREE_CLEANUP_READINESS.json; integration/consolidation_20260723T062842Z/WORKTREE_CLEANUP_READINESS.json
checksums.sha256	5	checksums.sha256; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/checksums.sha256; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/checksums.sha256; runs/A_PI_NATIVE/pi_ufo_baseline_v1/checksums.sha256; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/checksums.sha256
CONSOLIDATION_FILE_MANIFEST.tsv	2	CONSOLIDATION_FILE_MANIFEST.tsv; integration/consolidation_20260723T062842Z/CONSOLIDATION_FILE_MANIFEST.tsv
WORKTREE_CLEANUP_READINESS.md	2	WORKTREE_CLEANUP_READINESS.md; integration/consolidation_20260723T062842Z/WORKTREE_CLEANUP_READINESS.md
README.md	14	README.md; pack_aa/include/README.md; .pytest_cache/README.md; studies/pack_a_seed_mc/README.md; pack_b/README.md; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/README.md; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/.pytest_cache/README.md; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/cards/README.md; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/README.md; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/cards/README.md; runs/A_PI_NATIVE/pi_ufo_baseline_v1/README.md; runs/A_PI_NATIVE/pi_ufo_baseline_v1/cards/README.md; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/README.md; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/cards/README.md
pack_a_mg5.log	2	evidence/pack_a/pack_a_native_failed_20260718T023622Z/pack_a_mg5.log; runs/A_PI_NATIVE/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/pack_a_mg5.log
mg5_events.log	4	evidence/pack_a/pack_a_native_failed_20260718T023622Z/mg5_events.log; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/build/A_PI_NATIVE_200/mg5_events.log; runs/A_PI_NATIVE/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/mg5_events.log; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/mg5_events.log
particles.py	15	evidence/pack_a/pack_a_native_failed_20260718T023622Z/particles.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/model/LLscalar_v3_UFO_runtime/particles.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/build/A_PI_NATIVE_200/MG5_PROC/bin/internal/ufomodel/particles.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/vendor/LLscalar_v3_UFO_original/particles.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/tests/fixtures/mini_model/particles.py; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/model/LLscalar_v3_UFO_runtime/particles.py; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/build/point_000001/MG5_PROC/bin/internal/ufomodel/particles.py; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/vendor/LLscalar_v3_UFO_original/particles.py; runs/A_PI_NATIVE/pi_ufo_baseline_v1/model/LLscalar_v3_UFO_runtime/particles.py; runs/A_PI_NATIVE/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/MG5_PROC/bin/internal/ufomodel/particles.py; runs/A_PI_NATIVE/pi_ufo_baseline_v1/vendor/LLscalar_v3_UFO_original/particles.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/model/LLscalar_v3_UFO_runtime/particles.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/MG5_PROC/bin/internal/ufomodel/particles.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/vendor/LLscalar_v3_UFO_original/particles.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/tests/fixtures/mini_model/particles.py
parameters.py	15	evidence/pack_a/pack_a_native_failed_20260718T023622Z/parameters.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/model/LLscalar_v3_UFO_runtime/parameters.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/build/A_PI_NATIVE_200/MG5_PROC/bin/internal/ufomodel/parameters.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/vendor/LLscalar_v3_UFO_original/parameters.py; archive/superseded/.pack_a_native_clean/pi_ufo_baseline_v1_runtimefix/tests/fixtures/mini_model/parameters.py; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/model/LLscalar_v3_UFO_runtime/parameters.py; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/build/point_000001/MG5_PROC/bin/internal/ufomodel/parameters.py; releases/pack_a/scientific_validation/external_validation_a/pi_ufo_baseline_v1/vendor/LLscalar_v3_UFO_original/parameters.py; runs/A_PI_NATIVE/pi_ufo_baseline_v1/model/LLscalar_v3_UFO_runtime/parameters.py; runs/A_PI_NATIVE/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/MG5_PROC/bin/internal/ufomodel/parameters.py; runs/A_PI_NATIVE/pi_ufo_baseline_v1/vendor/LLscalar_v3_UFO_original/parameters.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/model/LLscalar_v3_UFO_runtime/parameters.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/MG5_PROC/bin/internal/ufomodel/parameters.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/vendor/LLscalar_v3_UFO_original/parameters.py; runs/A_PI_NATIVE_RUNTIMEFIX/pi_ufo_baseline_v1/tests/fixtures/mini_model/parameters.py
smoke_tag_1_debug.log	2	evidence/pack_a/pack_a_native_failed_20260718T023622Z/smoke_tag_1_debug.log; runs/A_PI_NATIVE/pi_ufo_baseline_v1/build/A_PI_NATIVE_200/MG5_PROC/smoke_tag_1_debug.log
graph.db	2	.code-review-graph/graph.db; archive/unclassified/.code-review-graph/graph.db
RESUME.md	11	scratch/pack_aa_event_bundle_20260722T092243Z_1/RESUME.md; scratch/pack_aa_event_bundle_20260722T092243Z/RESUME.md; scratch/pack_aa_event_bundle_20260722T092243Z_4/RESUME.md; scratch/pack_aa_event_bundle_20260722T090049Z_4/RESUME.md; scratch/pack_aa_event_bundle_20260722T090049Z_3/RESUME.md; scratch/pack_aa_event_bundle_20260722T090049Z_2/RESUME.md; scratch/pack_aa_event_bundle_20260722T092243Z_5/RESUME.md; scratch/pack_aa_event_bundle_20260722T090049Z/RESUME.md; scratch/pack_aa_event_bundle_20260722T090049Z_1/RESUME.md; scratch/pack_aa_event_bundle_20260722T092243Z_3/RESUME.md; scratch/pack_aa_event_bundle_20260722T092243Z_2/RESUME.md
