delta_E_GeV,delta_mass_GeV,delta_pt_GeV,delta_pt_relative,delta_px_GeV,delta_py_GeV,delta_pz_GeV,event,h2_ordinal,mode
0.0,0.0,-7.105427357601002e-15,-1.2139599176273345e-16,2.6645352591003757e-15,7.105427357601002e-15,0.0,1,0,D0
0.0,0.0,7.105427357601002e-15,1.2139599176273345e-16,8.881784197001252e-16,7.105427357601002e-15,7.105427357601002e-15,1,1,D0
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0,-2.4424906541753444e-15,2,0,D0
0.0,0.0,7.105427357601002e-15,2.9214674903663914e-16,7.105427357601002e-15,1.7763568394002505e-15,7.105427357601002e-15,2,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,3,0,D0
0.0,-5.684341886080802e-14,7.105427357601002e-15,1.168585273125996e-16,0.0,7.105427357601002e-15,-5.684341886080802e-14,3,1,D0
2.842170943040401e-14,0.0,2.842170943040401e-14,1.9922590343089066e-16,-2.842170943040401e-14,-7.105427357601002e-15,0.0,4,0,D0
0.0,-2.8421709430404007e-13,0.0,0.0,0.0,0.0,1.1368683772161603e-13,4,1,D0
-2.842170943040401e-14,-5.684341886080802e-14,-2.842170943040401e-14,-2.1882888067806488e-16,0.0,2.842170943040401e-14,1.4210854715202004e-14,5,0,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,D0
0.0,-1.1652900866465643e-12,0.0,0.0,3.552713678800501e-15,0.0,-2.2737367544323206e-13,6,0,D0
0.0,2.842170943040401e-14,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,2.842170943040401e-14,6,1,D0
0.0,0.0,0.0,0.0,-2.6645352591003757e-15,0.0,1.4210854715202004e-14,7,0,D0
0.0,1.4210854715202004e-13,0.0,0.0,-8.881784197001252e-16,0.0,-5.684341886080802e-14,7,1,D0
0.0,0.0,-1.4210854715202004e-14,-1.1392752512311443e-16,-1.4210854715202004e-14,7.105427357601002e-15,0.0,8,0,D0
