ks_D,ks_decision_alpha_0.05,ks_pvalue,left,left_mean,left_median,left_q05,left_q95,mean_difference,median_difference,n_left,n_right,observable,relative_mean_shift,relative_median_shift,right,right_mean,right_median,right_q05,right_q95,units,wasserstein,wasserstein_over_left_std
0.11,DO_NOT_REJECT,0.17793352788293415,MadGraph/LHE H2,117.68582685542529,98.74532625433898,23.3489238218421,231.44510851299583,21.892199059893755,16.23686384774504,200,200,h2_pt,0.18602239237175,0.1644317200990723,Pythia H2 pre-decay,139.57802591531905,114.98219010208402,26.552147751862673,344.2136887503046,GeV,22.838917504670913,0.2435836308691631
0.055,DO_NOT_REJECT,0.9238374197330625,MadGraph/LHE H2,-0.2247964367666237,-0.38790572244623206,-2.8553109314604375,2.7621085983150264,0.04326402999803769,0.19144239752065115,200,200,h2_eta,-0.19245870005916949,-0.4935281601760519,Pythia H2 pre-decay,-0.181532406768586,-0.1964633249255809,-2.7816858924263443,2.656497466597199,dimensionless,0.09566096419282703,0.05421671538548283
0.055,DO_NOT_REJECT,0.9238374197330625,MadGraph/LHE H2,-0.023651271351641055,-0.0030299620082718387,-2.747725884981949,2.8633079687538,0.0731482418057935,-0.0029878205140023905,200,200,h2_phi,-3.092782655031273,0.9860917416936578,Pythia H2 pre-decay,0.049496970454152446,-0.006017782522274229,-2.813362156068819,2.9225879421310177,rad,0.11618144877648079,0.0640952253173579
0.525,REJECT,1.540690216744271e-25,MadGraph/LHE H2,200.0000000002564,200.00000000046873,199.99999998558883,200.00000001480979,-2.568185664131306e-10,-4.687592536356533e-10,200,200,h2_mass,-1.284092832064007e-12,-2.3437962681727736e-12,Pythia H2 pre-decay,199.99999999999957,199.99999999999997,199.99999999999548,200.00000000000205,GeV,1.0877194398517533e-08,0.31080820817679106
1.0,REJECT,2.2087606931995054e-59,MadGraph/LHE H2,0.0,0.0,0.0,0.0,124.51448435100961,69.01324852134194,100,100,h2h2_pt,nan,nan,Pythia H2 pre-decay,124.51448435100961,69.01324852134194,8.221766587076488,402.14849659469456,GeV,124.51448435100961,nan
0.01,DO_NOT_REJECT,1.0,MadGraph/LHE H2,518.9435303232796,483.4804683136447,412.44241716094456,675.1822543324269,-1.5194245861493982e-09,-5.788439239040599e-08,100,100,h2h2_mass,-2.9279189302212938e-12,-1.1972436568596827e-10,Pythia H2 pre-decay,518.9435303217601,483.4804682557603,412.442417156095,675.1822543332713,GeV,1.2363840369289394e-08,7.892382593874337e-11
1.0,REJECT,2.2087606931995054e-59,MadGraph/LHE H2,3.141592653589793,3.141592653589793,3.1415926535897927,3.141592653589793,-0.923187135422729,-0.5072439810249145,100,100,deltaPhi_h2h2,-0.29385959200274864,-0.16146077386745342,Pythia H2 pre-decay,2.218405518167064,2.6343486725648786,0.23721043452481716,3.1344003799850055,rad,0.9231871354227288,5670480854876395.0
0.87,REJECT,1.9509242595079607e-39,MadGraph/LHE H2,3.230665249421168,3.1879801601797553,3.142307080985661,3.455265361887502,-0.8504745211482647,-0.4473090280163712,100,100,deltaR_h2h2,-0.26325058633067683,-0.14031110783046702,Pythia H2 pre-decay,2.380190728272903,2.740671132163384,0.6240185346072794,3.2207767731497907,dimensionless,0.8504745211482647,7.68245133854254
0.01,DO_NOT_REJECT,1.0,MadGraph/LHE H2H2,518.9435303232796,483.4804683136447,412.44241716094456,675.1822543324269,-1.5194245861493982e-09,-5.788490398117574e-08,100,100,h2h2_mass_vs_4gamma,-2.9279189302212938e-12,-1.1972542382751333e-10,Pythia direct gamma-gamma H2 daughters,518.9435303217601,483.4804682557598,412.442417156095,675.1822543332713,GeV,1.23638102422774e-08,7.892363362478753e-11
1.0,REJECT,2.2087606931995054e-59,MadGraph/LHE H2H2,0.0,0.0,0.0,0.0,124.51448435100961,69.01324852134191,100,100,h2h2_pt_vs_4gamma,nan,nan,Pythia direct gamma-gamma H2 daughters,124.51448435100961,69.01324852134191,8.2217665870765,402.14849659469456,GeV,124.51448435100961,nan
